type,sample,value,offset,duration,subject
TRIAL_RESULT,95081,"MSG	10637746 TRIAL_RESULT 0",,,28
TRIALID,95082,"MSG	10637747 TRIALID 20",,,28
94,95931,"MSG	10638596 94",,,28
51,97448,"MSG	10640113 51",,,28
210,97993,"MSG	10640658 210",,,28
110,99064,"MSG	10641729 110",,,28
TRIAL_RESULT,100055,"MSG	10642720 TRIAL_RESULT 0",,,28
TRIALID,100056,"MSG	10642721 TRIALID 21",,,28
91,100798,"MSG	10643463 91",,,28
51,102314,"MSG	10644979 51",,,28
210,103093,"MSG	10645758 210",,,28
10,104115,"MSG	10646780 10",,,28
TRIAL_RESULT,104914,"MSG	10647579 TRIAL_RESULT 0",,,28
TRIALID,104915,"MSG	10647580 TRIALID 22",,,28
94,105764,"MSG	10648429 94",,,28
51,107281,"MSG	10649946 51",,,28
200,107959,"MSG	10650624 200",,,28
10,108982,"MSG	10651647 10",,,28
TRIAL_RESULT,109892,"MSG	10652557 TRIAL_RESULT 0",,,28
TRIALID,109893,"MSG	10652558 TRIALID 23",,,28
91,110648,"MSG	10653313 91",,,28
52,112164,"MSG	10654829 52",,,28
210,112711,"MSG	10655376 210",,,28
10,113749,"MSG	10656414 10",,,28
TRIAL_RESULT,114764,"MSG	10657429 TRIAL_RESULT 0",,,28
TRIALID,114765,"MSG	10657430 TRIALID 24",,,28
92,115748,"MSG	10658413 92",,,28
53,117264,"MSG	10659929 53",,,28
200,117893,"MSG	10660558 200",,,28
10,118948,"MSG	10661613 10",,,28
TRIAL_RESULT,119870,"MSG	10662535 TRIAL_RESULT 0",,,28
TRIALID,119871,"MSG	10662536 TRIALID 25",,,28
94,120429,"MSG	10663094 94",,,28
52,121948,"MSG	10664613 52",,,28
210,122591,"MSG	10665256 210",,,28
110,123665,"MSG	10666330 110",,,28
TRIAL_RESULT,124553,"MSG	10667218 TRIAL_RESULT 0",,,28
TRIALID,124554,"MSG	10667219 TRIALID 26",,,28
92,125398,"MSG	10668063 92",,,28
51,126916,"MSG	10669581 51",,,28
210,127749,"MSG	10670414 210",,,28
10,128848,"MSG	10671513 10",,,28
TRIAL_RESULT,129616,"MSG	10672281 TRIAL_RESULT 0",,,28
TRIALID,129616,"MSG	10672281 TRIALID 27",,,28
94,130414,"MSG	10673079 94",,,28
52,131931,"MSG	10674596 52",,,28
210,132456,"MSG	10675121 210",,,28
110,133515,"MSG	10676180 110",,,28
TRIAL_RESULT,134534,"MSG	10677199 TRIAL_RESULT 0",,,28
TRIALID,134535,"MSG	10677200 TRIALID 28",,,28
91,135549,"MSG	10678214 91",,,28
53,137080,"MSG	10679745 53",,,28
210,137744,"MSG	10680409 210",,,28
20,138815,"MSG	10681480 20",,,28
TRIAL_RESULT,139684,"MSG	10682349 TRIAL_RESULT 0",,,28
TRIALID,139684,"MSG	10682349 TRIALID 29",,,28
94,140566,"MSG	10683231 94",,,28
52,142082,"MSG	10684747 52",,,28
210,142715,"MSG	10685380 210",,,28
110,143764,"MSG	10686429 110",,,28
TRIAL_RESULT,144687,"MSG	10687352 TRIAL_RESULT 0",,,28
TRIALID,144688,"MSG	10687353 TRIALID 30",,,28
94,145432,"MSG	10688097 94",,,28
53,146950,"MSG	10689615 53",,,28
210,147557,"MSG	10690222 210",,,28
110,148616,"MSG	10691281 110",,,28
TRIAL_RESULT,149557,"MSG	10692222 TRIAL_RESULT 0",,,28
TRIALID,149558,"MSG	10692223 TRIALID 31",,,28
91,150466,"MSG	10693131 91",,,28
52,151982,"MSG	10694647 52",,,28
200,152517,"MSG	10695182 200",,,28
10,153516,"MSG	10696181 10",,,28
TRIAL_RESULT,154581,"MSG	10697246 TRIAL_RESULT 0",,,28
TRIALID,154582,"MSG	10697247 TRIALID 32",,,28
92,155366,"MSG	10698031 92",,,28
51,156883,"MSG	10699548 51",,,28
210,157465,"MSG	10700130 210",,,28
110,158532,"MSG	10701197 110",,,28
TRIAL_RESULT,159493,"MSG	10702158 TRIAL_RESULT 0",,,28
TRIALID,159494,"MSG	10702159 TRIALID 33",,,28
91,160433,"MSG	10703098 91",,,28
52,161965,"MSG	10704630 52",,,28
210,162569,"MSG	10705234 210",,,28
10,163633,"MSG	10706298 10",,,28
TRIAL_RESULT,164576,"MSG	10707241 TRIAL_RESULT 0",,,28
TRIALID,164577,"MSG	10707242 TRIALID 34",,,28
91,165532,"MSG	10708197 91",,,28
51,167049,"MSG	10709714 51",,,28
210,167737,"MSG	10710402 210",,,28
20,168766,"MSG	10711431 20",,,28
TRIAL_RESULT,169652,"MSG	10712317 TRIAL_RESULT 0",,,28
TRIALID,169653,"MSG	10712318 TRIALID 35",,,28
92,170316,"MSG	10712981 92",,,28
51,171833,"MSG	10714498 51",,,28
200,172450,"MSG	10715115 200",,,28
110,173282,"MSG	10715947 110",,,28
TRIAL_RESULT,174431,"MSG	10717096 TRIAL_RESULT 0",,,28
TRIALID,174431,"MSG	10717096 TRIALID 36",,,28
93,175250,"MSG	10717915 93",,,28
51,176766,"MSG	10719431 51",,,28
210,177413,"MSG	10720078 210",,,28
20,178450,"MSG	10721115 20",,,28
TRIAL_RESULT,179380,"MSG	10722045 TRIAL_RESULT 0",,,28
TRIALID,179381,"MSG	10722046 TRIALID 37",,,28
94,179983,"MSG	10722648 94",,,28
52,181500,"MSG	10724165 52",,,28
210,181966,"MSG	10724631 210",,,28
110,183000,"MSG	10725665 110",,,28
TRIAL_RESULT,184100,"MSG	10726765 TRIAL_RESULT 0",,,28
TRIALID,184101,"MSG	10726766 TRIALID 38",,,28
