SubID,Vers,Block,Trial,RewLvl,EffLvl,Congruency,TargetResp,RollingEffLvl,Resp,RT,Acc,Fast,AccRT,IsRewarded,IsMiss,runavgRRgen,runavgRRcond,ZRT,AccZRT,RRS_Score,DASS_Score,GSE_Score,EffLvlNum,RewLvlNum,IsRewardedNum,numericBlock,SubIDnum,zDASS_Score,zGSE_Score,zRRS_Score,IvsCcong
1052,103,2,116,NaN,NaN,1,2,0.6,2,690,1,1,690,1,0,1.8,NaN,1.202557464,1.202557464,NaN,NaN,NaN,-0.5,-0.5,1,2,1052,NaN,NaN,NaN,1
1052,103,2,117,NaN,NaN,2,1,0.6,1,537,1,1,537,1,0,2,NaN,-0.159261391,-0.159261391,NaN,NaN,NaN,0.5,1.5,1,2,1052,NaN,NaN,NaN,NaN
1052,103,2,118,NaN,NaN,1,3,0.6,3,405,1,1,405,1,0,2.2,NaN,-1.334163933,-1.334163933,NaN,NaN,NaN,-0.5,1.5,1,2,1052,NaN,NaN,NaN,1
1052,103,2,119,NaN,NaN,0,2,0.6,2,712,1,1,712,1,0,3,0.8,1.398374554,1.398374554,NaN,NaN,NaN,1.5,-1.5,1,2,1052,NaN,NaN,NaN,0
1052,103,2,120,NaN,NaN,1,3,0.6,3,592,1,1,592,1,0,2.4,NaN,0.330281334,0.330281334,NaN,NaN,NaN,-0.5,1.5,1,2,1052,NaN,NaN,NaN,1
1052,103,2,121,NaN,NaN,1,1,0.6,1,447,1,1,447,1,0,3,NaN,-0.960331306,-0.960331306,NaN,NaN,NaN,-1.5,0.5,1,2,1052,NaN,NaN,NaN,1
1052,103,2,122,NaN,NaN,1,2,0.6,2,385,1,1,385,0,0,3.2,NaN,-1.51217947,-1.51217947,NaN,NaN,NaN,-0.5,-1.5,0,2,1052,NaN,NaN,NaN,1
1052,103,2,123,NaN,NaN,2,3,0.6,3,441,1,1,441,1,0,2.4,NaN,-1.013735967,-1.013735967,NaN,NaN,NaN,0.5,-1.5,1,2,1052,NaN,NaN,NaN,NaN
1052,103,2,124,NaN,NaN,1,2,0.6,2,468,1,1,468,1,0,1.8,NaN,-0.773414993,-0.773414993,NaN,NaN,NaN,0.5,0.5,1,2,1052,NaN,NaN,NaN,1
1052,103,2,125,NaN,NaN,2,1,0.6,1,569,1,1,569,1,0,2.2,0.8,0.125563467,0.125563467,NaN,NaN,NaN,1.5,1.5,1,2,1052,NaN,NaN,NaN,NaN
1052,103,2,126,NaN,NaN,1,3,0.8,3,565,1,1,565,1,0,2.2,0.8,0.08996036,0.08996036,NaN,NaN,NaN,1.5,-1.5,1,2,1052,NaN,NaN,NaN,1
