subid,vers,block,trial,rewlvl,efflvl,congruency,targetresp,distractorresp,rollingefflvl,resp,rt,acc,fast,accrt,isrewarded,ismiss,runavgrrgen,runavgrrcond,zrt,acczrt,rtthreshold,isdisterror,isranderror,congruence,feedback,fcz_resp_theta,fcz_resp_theta_baseline
14,104,2,156,0.5,0.5,-0.5,4,4,0.6,4,662,1,1,662,1,0,1,NaN,-0.302514739725501,-0.302514739725501,750,1,0,congruent,1,1853.5587428062,2398.73082079837
14,104,2,157,-0.5,0.5,-0.5,1,1,0.6,1,756,1,0,756,0,0,1.2,0.4,0.453890882552416,0.453890882552416,750,1,0,congruent,0,6027.38028333301,2072.05414017762
14,104,2,158,0.5,-0.5,0,4,NaN,0.6,4,816,1,0,816,1,0,0.8,NaN,0.936702981878746,0.936702981878746,750,0,0,neutral,1,746.497742938518,1063.35559172475
14,104,2,159,-0.5,0.5,-0.5,3,3,0.6,3,417,1,1,417,1,0,0.8,0.4,-2.27399747864135,-2.27399747864135,750,1,0,congruent,0.1,3433.5167199497,861.451618535606
14,104,2,160,-0.5,0.5,-0.5,4,4,0.6,4,650,1,1,650,1,0,1,0.4,-0.399077159590767,-0.399077159590767,750,1,0,congruent,0.1,2374.62364126051,1726.52489964855
14,104,2,161,0.5,-0.5,0.5,2,1,0.6,2,686,1,1,686,1,0,1.2,NaN,-0.109389899994969,-0.109389899994969,750,0,0,incongruent,1,4776.43515638018,1531.29333500246
14,104,2,162,-0.5,-0.5,0,4,NaN,0.6,4,763,1,0,763,0,0,1.2,0.6,0.510218960807155,0.510218960807155,750,0,0,neutral,0,1167.97226445059,3184.00267859621
14,104,2,164,-0.5,0.5,0,3,NaN,0.6,3,644,1,1,644,1,0,1,0.6,-0.4473583695234,-0.4473583695234,750,0,0,neutral,0.1,745.520609178608,1538.78310230297
14,104,2,165,0.5,0.5,-0.5,2,2,0.8,2,772,1,0,772,0,0,1,NaN,0.582640775706104,0.582640775706104,750,1,0,congruent,0,5487.23564872778,1394.14941819741
14,104,2,166,-0.5,0.5,0,3,NaN,0.6,3,677,1,1,677,1,0,0.8,0.6,-0.181811714893919,-0.181811714893919,750,0,0,neutral,0.1,1483.73270511887,513.150312427583
14,104,2,168,0.5,-0.5,0.5,1,2,0.8,1,740,1,1,740,0,0,0.6,NaN,0.325140989398728,0.325140989398728,750,0,0,incongruent,0,1478.63690814306,459.224111463764
14,104,2,169,0.5,0.5,-0.5,3,3,0.8,3,609,1,1,609,1,0,0.4,NaN,-0.728998760797093,-0.728998760797093,750,1,0,congruent,1,2649.11498604003,1545.38715174501
14,104,2,170,-0.5,-0.5,-0.5,2,2,0.8,2,702,1,1,702,1,0,0.6,0.4,0.0193599931587189,0.0193599931587189,750,1,0,congruent,0.1,2652.85742732219,1898.53118204664
